"Seat_Class","Business_Or_Personal_Travel","NumOfPassengers","Avg_Flight_Distance","Depart_Arrival_Time_Rating","Online_Booking_Rating","Gate_Location_Rating","FnB_Rating","Seat_Comfort_Rating","IFE_Rating","OnBoard_Service_Rating","LegRoom_Rating","Baggage_Handling_Rating","CheckIn_Service_Rating","Inflight_Service_Rating","Cleanliness_Rating","Avg_Depart_Delay_Minutes","Avg_Arrival_Delay_Minutes"
Business,Personal Travel,128,867.8906250000000000,3.7890625000000000,2.5156250000000000,2.9375000000000000,3.0859375000000000,3.3984375000000000,3.2031250000000000,3.2968750000000000,3.1875000000000000,3.6406250000000000,3.4843750000000000,3.6093750000000000,3.3437500000000000,9.8906250000000000,10.1640625000000000
Eco Plus,Business travel,455,738.6285714285714286,2.6857142857142857,2.6703296703296703,3.0835164835164835,3.1670329670329670,3.1428571428571429,3.1714285714285714,2.7714285714285714,3.0241758241758242,3.1846153846153846,2.7318681318681319,3.2043956043956044,3.1758241758241758,15.5868131868131868,16.9624724061810155
Eco,Business travel,1971,686.1861998985286657,2.4743784880771182,2.6834094368340944,3.0121765601217656,3.1801116184677829,3.1669203450025368,3.1841704718417047,2.8061897513952308,3.0182648401826484,3.1948249619482496,2.7929984779299848,3.2237442922374429,3.1933028919330289,15.1166920345002537,15.6206720977596741
Eco Plus,Personal Travel,218,821.6055045871559633,3.4266055045871560,2.6880733944954128,2.8761467889908257,2.8394495412844037,2.8440366972477064,2.9174311926605505,3.4082568807339450,3.2522935779816514,3.6834862385321101,3.3577981651376147,3.7339449541284404,2.8990825688073394,14.2844036697247706,13.8940092165898618
Eco,Personal Travel,1573,789.3216783216783217,3.6306420851875397,2.4901462174189447,2.9262555626191990,3.0184361093452003,3.0000000000000000,3.0514939605848697,3.3331214240305149,3.2682771773680865,3.7374443738080102,3.4017800381436745,3.8251748251748252,3.0578512396694215,13.5359186268277177,14.0521628498727735
Business,Business travel,4043,1565.3561711600296809,2.8543161019045263,2.9436062329953005,2.9824387830818699,3.3507296561958941,3.4914667326242889,3.4988869651249072,3.5837249567153104,3.4667326242888944,3.8656937917388078,3.4380410586198368,3.8822656443235221,3.3821419737818452,13.7835765520652980,14.1910084451068058
