"Seat_Class","Business_Or_Personal_Travel","NumOfPassengers","Avg_Flight_Distance","Depart_Arrival_Time_Rating","Online_Booking_Rating","Gate_Location_Rating","FnB_Rating","Seat_Comfort_Rating","IFE_Rating","OnBoard_Service_Rating","LegRoom_Rating","Baggage_Handling_Rating","CheckIn_Service_Rating","Inflight_Service_Rating","Cleanliness_Rating","Avg_Depart_Delay_Minutes","Avg_Arrival_Delay_Minutes"
Business,Personal Travel,502,810.2569721115537849,3.6095617529880478,2.5019920318725100,2.9163346613545817,3.1155378486055777,3.5517928286852590,3.0219123505976096,3.1115537848605578,2.8824701195219124,3.3326693227091633,3.2908366533864542,3.3286852589641434,3.1653386454183267,12.8924302788844622,13.4183266932270916
Eco,Business travel,2322,669.7252368647717485,2.9440137812230835,2.9582256675279931,3.0038759689922481,3.2304048234280792,3.2497846683893196,3.2747631352282515,2.8949181739879414,3.0396210163652024,3.1658053402239449,2.7799310938845823,3.1662360034453058,3.1227390180878553,16.3234280792420327,16.9398788927335640
Eco,Personal Travel,6360,754.8081761006289308,3.6308176100628931,2.4591194968553459,2.9356918238993711,3.0402515723270440,3.1517295597484277,3.0172955974842767,3.2606918238993711,3.0787735849056604,3.5930817610062893,3.3512578616352201,3.6281446540880503,3.0792452830188679,14.2614779874213836,14.8061514195583596
Business,Business travel,6840,1252.4061403508771930,2.9533625730994152,2.9453216374269006,3.0078947368421053,3.4270467836257310,3.9301169590643275,3.7871345029239766,3.7169590643274854,3.7289473684210526,3.8074561403508772,3.5026315789473684,3.8131578947368421,3.5903508771929825,13.6726608187134503,13.6598709298914638
