"Seat_Class","Business_Or_Personal_Travel","NumOfPassengers","Avg_Flight_Distance","Depart_Arrival_Time_Rating","Online_Booking_Rating","Gate_Location_Rating","FnB_Rating","Seat_Comfort_Rating","IFE_Rating","OnBoard_Service_Rating","LegRoom_Rating","Baggage_Handling_Rating","CheckIn_Service_Rating","Inflight_Service_Rating","Cleanliness_Rating","Avg_Depart_Delay_Minutes","Avg_Arrival_Delay_Minutes"
Business,Personal Travel,122,947.7459016393442623,3.7868852459016393,2.5737704918032787,2.9344262295081967,3.0245901639344262,3.1475409836065574,3.0163934426229508,3.2868852459016393,3.2295081967213115,3.9426229508196721,3.2704918032786885,3.9590163934426230,3.0573770491803279,16.1065573770491803,15.3770491803278689
Eco Plus,Business travel,138,825.3840579710144928,2.8043478260869565,2.6956521739130435,3.0362318840579710,2.9420289855072464,3.0869565217391304,2.9202898550724638,2.6159420289855072,2.8985507246376812,3.2898550724637681,2.6449275362318841,3.2463768115942029,2.9637681159420290,12.8695652173913043,15.1521739130434783
Eco,Business travel,1202,715.4384359400998336,2.4076539101497504,2.6838602329450915,2.9633943427620632,3.0831946755407654,3.0482529118136439,3.0981697171381032,3.1031613976705491,3.1697171381031614,3.5349417637271215,3.0906821963394343,3.5806988352745424,3.0865224625623960,15.5066555740432612,16.0875729774812344
Eco Plus,Personal Travel,225,802.2044444444444444,3.6000000000000000,2.4577777777777778,2.8044444444444444,2.8666666666666667,2.7822222222222222,2.8977777777777778,3.2711111111111111,3.2311111111111111,3.6977777777777778,3.2311111111111111,3.8088888888888889,2.8666666666666667,9.2133333333333333,10.6098654708520179
Eco,Personal Travel,1738,798.9850402761795167,3.6340621403912543,2.4436133486766398,2.9119677790563867,2.9505178365937860,2.9378596087456847,2.9781357882623705,3.3078250863060990,3.2359033371691600,3.7635212888377445,3.3388952819332566,3.7773302646720368,2.9712313003452244,15.3532796317606444,16.1114318706697460
Business,Business travel,864,1523.7731481481481481,2.7569444444444444,3.1620370370370370,3.1041666666666667,3.4861111111111111,3.4490740740740741,3.4861111111111111,3.3912037037037037,3.2743055555555556,3.8738425925925926,3.4456018518518519,3.8460648148148148,3.4675925925925926,13.8009259259259259,14.5563298490127758
