"Seat_Class","Business_or_Personal_Travel","NumOfPassengers","Avg_Flight_Distance","Depart_Arrival_Time_Rating","Online_Booking_Rating","Gate_Location_Rating","FnB_Rating","Seat_Comfort_Rating","IFE_Rating","OnBoard_Service_Rating","LegRoom_Rating","Baggage_Handling_Rating","CheckIn_Service_Rating","Inflight_Service_Rating","Cleanliness_Rating","Avg_Depart_Delay_Minutes","Avg_Arrival_Delay_Minutes"
Business,Personal Travel,12,2627.5833333333333333,3.6666666666666667,3.1666666666666667,3.3333333333333333,3.2500000000000000,3.7500000000000000,2.9166666666666667,3.0000000000000000,3.5000000000000000,3.5833333333333333,3.1666666666666667,3.4166666666666667,3.4166666666666667,4.7500000000000000,2.5000000000000000
Eco Plus,Business travel,13,2645.0769230769230769,3.0000000000000000,3.3846153846153846,2.7692307692307692,3.0769230769230769,3.0000000000000000,3.3846153846153846,3.4615384615384615,3.0000000000000000,3.3846153846153846,2.3846153846153846,3.0769230769230769,2.9230769230769231,28.3076923076923077,30.7692307692307692
Eco,Business travel,53,2726.6603773584905660,2.8679245283018868,2.8490566037735849,3.0000000000000000,3.1886792452830189,3.1886792452830189,3.0566037735849057,3.1886792452830189,2.9622641509433962,3.5471698113207547,2.9811320754716981,3.1698113207547170,3.0566037735849057,13.8301886792452830,18.6415094339622642
Eco Plus,Personal Travel,20,2641.1000000000000000,2.9000000000000000,2.3000000000000000,3.6000000000000000,2.4000000000000000,3.3000000000000000,3.1000000000000000,3.4000000000000000,3.1500000000000000,3.7000000000000000,3.5000000000000000,3.3500000000000000,3.2500000000000000,8.2500000000000000,12.8000000000000000
Eco,Personal Travel,122,2742.1721311475409836,3.1885245901639344,2.3524590163934426,2.8442622950819672,2.7950819672131148,3.1967213114754098,3.1475409836065574,3.1885245901639344,3.1393442622950820,3.4590163934426230,3.0245901639344262,3.2704918032786885,3.0163934426229508,11.8688524590163934,12.3966942148760331
Business,Business travel,3297,3211.2902638762511374,2.9390354868061874,2.9384288747346072,3.0051562026084319,3.4024871094934789,3.9105247194419169,3.7843494085532302,3.7033666969972702,3.7397634212920837,3.8089171974522293,3.4959053685168335,3.8055808310585381,3.6029723991507431,14.5007582650894753,15.1511557177615572
