"Seat_Class","Business_Or_Personal_Travel","NumOfPassengers","Avg_Flight_Distance","Depart_Arrival_Time_Rating","Online_Booking_Rating","Gate_Location_Rating","FnB_Rating","Seat_Comfort_Rating","IFE_Rating","OnBoard_Service_Rating","LegRoom_Rating","Baggage_Handling_Rating","CheckIn_Service_Rating","Inflight_Service_Rating","Cleanliness_Rating","Avg_Depart_Delay_Minutes","Avg_Arrival_Delay_Minutes"
Business,Personal Travel,266,809.7142857142857143,3.4511278195488722,2.5037593984962406,2.9210526315789474,3.1804511278195489,3.8195488721804511,2.9360902255639098,2.9248120300751880,2.5977443609022556,2.9172932330827068,3.1917293233082707,2.9135338345864662,3.1428571428571429,12.8345864661654135,13.9097744360902256
Eco Plus,Business travel,419,646.3341288782816229,2.9952267303102625,2.9976133651551313,3.0405727923627685,3.2076372315035800,3.1551312649164678,3.1360381861575179,2.8782816229116945,3.0310262529832936,3.0596658711217184,2.6682577565632458,3.0644391408114558,3.1384248210023866,16.6682577565632458,17.1766109785202864
Eco,Business travel,1874,670.0490928495197439,2.7924226254002134,2.9140875133404482,2.9973319103521878,3.1755602988260406,3.2155816435432231,3.2289220917822839,2.9541088580576307,3.0624332977588047,3.1755602988260406,2.7886872998932764,3.1691568836712914,3.0373532550693703,15.9567769477054429,16.9394426580921758
Eco Plus,Personal Travel,462,760.8181818181818182,3.6277056277056277,2.4264069264069264,2.9069264069264069,3.0649350649350649,3.3181818181818182,2.9761904761904762,3.0909090909090909,2.8961038961038961,3.2748917748917749,3.4069264069264069,3.4242424242424242,3.1168831168831169,12.2034632034632035,12.4047619047619048
Eco,Personal Travel,3206,789.5692451653150343,3.6126013724266999,2.4491578290704928,2.9472863381160324,3.0895196506550218,3.3418590143480973,3.0265127885215221,3.1993137866500312,2.9029943855271366,3.4276356830941984,3.3200249532127261,3.4398003742981909,3.1444167186525265,13.8902058640049906,14.3334377937950486
Business,Business travel,7072,1818.5630656108597285,2.9195418552036199,2.9100678733031674,2.9915158371040724,3.3619909502262443,3.9929298642533937,3.8109445701357466,3.8383766968325792,3.8597285067873303,3.8799490950226244,3.6078902714932127,3.8750000000000000,3.5943156108597285,14.1115667420814480,14.1406294301105756
