"Seat_Class","Business_Or_Personal_Travel","NumOfPassengers","Avg_Flight_Distance","Depart_Arrival_Time_Rating","Online_Booking_Rating","Gate_Location_Rating","FnB_Rating","Seat_Comfort_Rating","IFE_Rating","OnBoard_Service_Rating","LegRoom_Rating","Baggage_Handling_Rating","CheckIn_Service_Rating","Inflight_Service_Rating","Cleanliness_Rating","Avg_Depart_Delay_Minutes","Avg_Arrival_Delay_Minutes"
Business,Personal Travel,504,814.6190476190476190,3.6130952380952381,2.5079365079365079,2.9186507936507937,3.1170634920634921,3.5515873015873016,3.0238095238095238,3.1051587301587302,2.8789682539682540,3.3333333333333333,3.2857142857142857,3.3313492063492063,3.1666666666666667,13.0714285714285714,13.5853174603174603
Eco Plus,Business travel,999,687.0940940940940941,2.8278278278278278,2.8018018018018018,3.0630630630630631,3.1541541541541542,3.1421421421421421,3.1191191191191191,2.7857857857857858,3.0100100100100100,3.1441441441441441,2.6976976976976977,3.1531531531531532,3.1341341341341341,15.4994994994994995,16.6218655967903711
Eco,Business travel,4994,665.5164197036443732,2.5734881858229876,2.7683219863836604,2.9949939927913496,3.1549859831798158,3.1563876651982379,3.1816179415298358,2.9291149379255106,3.0718862635162195,3.2657188626351622,2.8610332398878654,3.2897476972366840,3.1105326391670004,15.5394473368041650,16.1955385852090032
Eco Plus,Personal Travel,885,743.8214689265536723,3.5875706214689266,2.5016949152542373,2.8576271186440678,2.9740112994350282,3.0655367231638418,2.9389830508474576,3.2079096045197740,3.0632768361581921,3.4734463276836158,3.3480225988700565,3.6000000000000000,2.9966101694915254,12.0451977401129944,12.3083900226757370
Eco,Personal Travel,6395,754.8167318217357310,3.6309616888193901,2.4595777951524629,2.9344800625488663,3.0398749022673964,3.1507427677873339,3.0172009382329945,3.2619233776387803,3.0788115715402658,3.5945269741985927,3.3508991399530884,3.6295543393275997,3.0784988272087568,14.2392494136043784,14.7839661123313461
Business,Business travel,8682,1142.4244413729555402,2.8655839668279198,2.9399907855332873,2.9933195116332642,3.3537203409352684,3.7365814328495738,3.6434001382170007,3.7265607002994702,3.6640175074867542,3.8996774936650541,3.5551716194425248,3.9018659295093296,3.4796129923980650,13.7801197880672656,13.8214492083670403
